iterations,fitness,time,fevals
0,26.0,0.00105827900001,727
10,29.0,0.002200797,1356
20,29.0,0.003138734,1997
30,29.0,0.00384948000001,2627
40,29.0,0.004748033,3262
50,30.0,0.005634552,3894
60,29.0,0.00651961200001,4528
70,29.0,0.00730001100001,5169
80,31.0,0.00936989100001,5798
90,29.0,0.010263338,6431
100,30.0,0.011228261,7072
110,31.0,0.012119885,7709
120,30.0,0.013246357,8346
130,31.0,0.014089115,8993
140,31.0,0.015095976,9615
150,32.0,0.016087155,10245
160,32.0,0.0176877010001,10870
170,31.0,0.0184236090001,11518
180,31.0,0.019419165,12149
190,32.0,0.020270675,12763
200,32.0,0.021124009,13399
210,32.0,0.021964578,14016
220,32.0,0.022734036,14636
230,34.0,0.023634048,15269
240,32.0,0.0249198820001,15896
250,34.0,0.0257903550001,16524
260,37.0,0.0267093300001,17139
270,36.0,0.0275294780001,17764
280,35.0,0.0283693180001,18398
290,38.0,0.0293477330001,19025
300,41.0,0.0302134650001,19653
310,41.0,0.0316845530001,20264
320,42.0,0.0325298630001,20904
330,43.0,0.0333383410001,21537
340,44.0,0.0341665110001,22160
350,42.0,0.0350103620001,22799
360,42.0,0.0356292110001,23439
370,43.0,0.0364679570001,24072
380,44.0,0.0372290280001,24700
390,44.0,0.0386702130001,25335
400,45.0,0.0395439680001,25967
410,44.0,0.0403757850001,26583
420,44.0,0.041180616,27206
430,45.0,0.0420408780001,27839
440,45.0,0.0428825420001,28460
450,45.0,0.0436421540001,29082
460,44.0,0.0442311,29708
470,44.0,0.045037755,30338
480,45.0,0.0467210820001,30957
490,46.0,0.0473041930001,31587
500,49.0,0.0485696060001,32227
510,47.0,0.0493864720001,32852
520,46.0,0.0504509510001,33476
530,48.0,0.0512379140001,34101
540,46.0,0.0522837940001,34737
550,47.0,0.0528479420001,35364
560,47.0,0.05366262,36004
570,48.0,0.054491156,36629
580,47.0,0.055112558,37268
590,47.0,0.055922131,37901
600,47.0,0.0567780170001,38533
610,48.0,0.057599623,39163
620,49.0,0.0587983,39803
630,56.0,0.059673878,40430
640,62.0,0.060983416,41058
650,60.0,0.061621957,41689
660,58.0,0.062488783,42325
670,58.0,0.063163427,42951
680,67.0,0.064903279,43585
690,69.0,0.065730356,44194
700,71.0,0.066558162,44828
710,70.0,0.072813386,45470
720,71.0,0.074083175,46090
730,71.0,0.074686708,46714
740,71.0,0.075498833,47334
750,71.0,0.076069909,47971
760,71.0,0.0766927690001,48603
770,71.0,0.0772620220001,49241
780,71.0,0.0780694070001,49880
790,72.0,0.0788574640001,50510
800,71.0,0.0794752190001,51134
810,72.0,0.0801498620001,51765
820,71.0,0.0807125520001,52395
830,71.0,0.0814893040001,53016
840,71.0,0.0825705570001,53634
850,72.0,0.0833673660001,54256
860,72.0,0.0841787610001,54898
870,72.0,0.0849325390001,55531
880,73.0,0.0859857120001,56156
890,74.0,0.0867227150001,56778
