iterations,fitness,time,fevals
0,24.0,0.125555943,1000
10,27.0,0.273266093,2100
20,26.0,0.374853584,3200
30,34.0,0.468413544,4300
40,38.0,0.554177905,5400
50,55.0,0.682729995,6500
60,54.0,0.783101304,7600
70,56.0,0.86290072,8700
80,59.0,0.948893,9800
90,58.0,1.042857017,10900
100,61.0,1.15617784,12000
110,58.0,1.261041547,13100
120,55.0,1.336384667,14200
130,55.0,1.421639945,15300
140,54.0,1.503109195,16400
150,51.0,1.592300017,17500
160,54.0,1.686714769,18600
170,54.0,1.773934902,19700
180,55.0,1.86889885,20800
190,57.0,1.983121142,21900
200,56.0,2.077983712,23000
210,58.0,2.165330021,24100
220,61.0,2.260971166,25200
230,70.0,2.355772835,26300
240,57.0,2.451015028,27400
250,58.0,2.535913657,28500
260,55.0,2.608207752,29600
270,58.0,2.686000376,30700
280,57.0,2.776509488,31800
290,59.0,2.855887707,32900
300,60.0,2.938689105,34000
310,58.0,3.011174288,35100
320,61.0,3.094691173,36200
330,60.0,3.165739913,37300
340,60.0,3.248388149,38400
350,59.0,3.32596744,39500
360,59.0,3.404130206,40600
370,61.0,3.524681751,41700
380,57.0,3.59884078,42800
390,60.0,3.681729699,43900
400,60.0,3.764162778,45000
410,59.0,3.834695141,46100
420,57.0,3.919456653,47200
430,60.0,3.987108105,48300
440,59.0,4.05297011,49400
450,61.0,4.127502928,50500
460,62.0,4.202817239,51600
470,59.0,4.2701806,52700
480,61.0,4.364290851,53800
490,60.0,4.444193834,54900
500,59.0,4.526308554,56000
510,61.0,4.602743138,57100
520,59.0,4.686310348,58200
530,60.0,4.75839038,59300
540,55.0,4.840944165,60400
550,61.0,4.934806074,61500
560,61.0,5.015904088,62600
570,61.0,5.099248483,63700
580,61.0,5.166754431,64800
590,61.0,5.228434374,65900
600,59.0,5.295445096,67000
610,61.0,5.356797198,68100
620,60.0,5.423250337,69200
630,62.0,5.486345209,70300
640,62.0,5.565780317,71400
650,61.0,5.676249767,72500
660,62.0,5.753229537,73600
670,61.0,5.8320695,74700
680,60.0,5.91065638,75800
690,61.0,5.994328981,76900
700,59.0,6.082844429,78000
710,62.0,6.168826863,79100
720,61.0,6.241604879,80200
730,59.0,6.314861709,81300
740,61.0,6.403929636,82400
750,60.0,6.485472915,83500
760,56.0,6.561494325,84600
770,59.0,6.62476351,85700
780,60.0,6.695622984,86800
790,56.0,6.763024636,87900
800,61.0,6.82593936,89000
810,56.0,6.907100097,90100
820,61.0,6.975882398,91200
830,61.0,7.041383013,92300
840,62.0,7.125008935,93400
850,61.0,7.194873948,94500
860,62.0,7.279969499,95600
870,61.0,7.358502407,96700
880,60.0,7.429241904,97800
890,61.0,7.496787966,98900
900,60.0,7.565065925,100000
910,62.0,7.6377783,101100
920,56.0,7.712618172,102200
930,61.0,7.788852916,103300
940,60.0,7.867083147,104400
950,62.0,7.96718934,105500
960,62.0,8.037078786,106600
970,62.0,8.101059447,107700
980,60.0,8.164555094,108800
990,61.0,8.229397475,109900
1000,61.0,8.300407194,111000
1010,63.0,8.38377274,112100
1020,59.0,8.467052588,113200
1030,63.0,8.544991081,114300
1040,63.0,8.655813899,115400
1050,63.0,8.722621864,116500
1060,62.0,8.799160015,117600
1070,62.0,8.870874646,118700
1080,63.0,8.94926278,119800
1090,61.0,9.029639836,120900
1100,59.0,9.095255323,122000
1110,61.0,9.167205532,123100
1120,61.0,9.245363923,124200
1130,61.0,9.311617586,125300
1140,61.0,9.384266143,126400
1150,61.0,9.44890686,127500
1160,61.0,9.513276626,128600
1170,59.0,9.593209147,129700
1180,60.0,9.674148893,130800
1190,62.0,9.745536048,131900
1200,62.0,9.819578017,133000
1210,62.0,9.883597697,134100
1220,62.0,9.985600915,135200
1230,62.0,10.059735146,136300
1240,63.0,10.132910654,137400
1250,61.0,10.196871987,138500
1260,62.0,10.268470652,139600
1270,64.0,10.337298902,140700
1280,62.0,10.404429967,141800
1290,78.0,10.476138763,142900
1300,66.0,10.541505544,144000
1310,77.0,10.609540996,145100
1320,78.0,10.679965416,146200
1330,73.0,10.76383968,147300
1340,78.0,10.826601971,148400
1350,63.0,10.897459987,149500
1360,67.0,10.973016075,150600
1370,69.0,11.045761269,151700
1380,78.0,11.122018987,152800
1390,80.0,11.207528806,153900
1400,62.0,11.277605694,155000
1410,70.0,11.357638865,156100
1420,75.0,11.435988708,157200
1430,67.0,11.505120365,158300
1440,79.0,11.580353719,159400
1450,71.0,11.661580097,160500
1460,66.0,11.736669769,161600
1470,78.0,11.80985877,162700
1480,66.0,11.87256089,163800
1490,78.0,11.934638691,164900
1500,78.0,11.99695207,166000
1510,78.0,12.075234084,167100
1520,71.0,12.142735291,168200
1530,66.0,12.215427608,169300
1540,78.0,12.300167969,170400
1550,77.0,12.371277609,171500
1560,65.0,12.449226677,172600
1570,72.0,12.526577318,173700
1580,66.0,12.59775661,174800
1590,62.0,12.670588597,175900
1600,65.0,12.739177622,177000
1610,66.0,12.826692774,178100
1620,66.0,12.891586575,179200
1630,66.0,12.964114425,180300
1640,78.0,13.029183268,181400
1650,78.0,13.092573888,182500
1660,63.0,13.179569382,183600
1670,67.0,13.24582341,184700
1680,65.0,13.316375465,185800
1690,79.0,13.39377716,186900
1700,78.0,13.502588445,188000
1710,76.0,13.573513196,189100
1720,77.0,13.655906891,190200
1730,75.0,13.718323108,191300
1740,69.0,13.784889296,192400
1750,73.0,13.850878572,193500
1760,66.0,13.915109398,194600
1770,78.0,13.983137192,195700
1780,64.0,14.053379641,196800
1790,66.0,14.128151319,197900
1800,66.0,14.229779289,199000
1810,65.0,14.30090315,200100
1820,78.0,14.371418009,201200
1830,65.0,14.458109366,202300
