iterations,fitness,time,fevals
0,12.0,3.13620000005e-05,11
10,14.0,8.46040000004e-05,21
20,15.0,0.000132741,31
30,15.0,0.000175408,41
40,15.0,0.000243237000001,51
50,15.0,0.000288821000002,61
60,15.0,0.000336958000001,71
70,15.0,0.000393482000002,81
80,15.0,0.000428855000002,91
90,17.0,0.000478815000002,101
100,17.0,0.000517470000002,111
110,17.0,0.000557584000002,121
120,17.0,0.000607909000002,131
130,17.0,0.000654222000002,141
140,19.0,0.000695794000003,151
150,19.0,0.000767270000003,161
160,19.0,0.000808843000003,171
170,19.0,0.000862815000003,181
180,19.0,0.000912046000002,191
190,19.0,0.000953984000002,201
200,19.0,0.001002121,211
210,19.0,0.001043693,221
220,19.0,0.001093653,231
230,19.0,0.001139602,241
240,19.0,0.001179716,251
250,19.0,0.001223841,261
260,20.0,0.001272342,271
270,20.0,0.00131902,281
280,21.0,0.001361322,291
290,22.0,0.00140253,301
300,22.0,0.001450302,311
310,22.0,0.001496615,321
320,22.0,0.001541469,331
330,23.0,0.001583406,341
340,23.0,0.001626073,351
350,24.0,0.001668375,361
360,24.0,0.001737298,371
370,24.0,0.0017796,381
380,24.0,0.001821902,391
390,24.0,0.00187405,401
400,24.0,0.001988193,411
410,24.0,0.002028671,421
420,24.0,0.002063315,431
430,24.0,0.002118745,441
440,24.0,0.0021574,451
450,24.0,0.002217936,461
460,24.0,0.00225805,471
470,24.0,0.002297799,481
480,24.0,0.00237438,491
490,24.0,0.002410847,501
500,24.0,0.002495816,511
510,24.0,0.002536295,521
520,24.0,0.002582973,531
530,24.0,0.002617617,541
540,24.0,0.002661377,551
550,24.0,0.002715714,561
560,24.0,0.00276458,571
570,24.0,0.002805423,581
580,24.0,0.002843714,591
590,24.0,0.00288237,601
600,24.0,0.002919931,611
610,24.0,0.002961868,621
620,24.0,0.003022403,631
630,24.0,0.003065799,641
640,24.0,0.00310409,651
650,24.0,0.00313691,661
660,24.0,0.003182859,671
670,24.0,0.003220055,681
680,24.0,0.003261263,691
690,24.0,0.003308306,701
700,24.0,0.003356078,711
710,24.0,0.003394733,721
720,24.0,0.003435576,731
730,24.0,0.003467667,741
740,24.0,0.003507052,751
750,24.0,0.00354753,761
760,24.0,0.003590197,771
770,24.0,0.00363177,781
780,24.0,0.003673707,791
790,24.0,0.003712727,801
800,24.0,0.003749923,811
810,24.0,0.00379258900001,821
820,24.0,0.003943928,831
830,24.0,0.003978207,841
840,24.0,0.00402306100001,851
850,24.0,0.00406609300001,861
860,24.0,0.00410693700001,871
870,24.0,0.00415398000001,881
880,24.0,0.00418935300001,891
890,24.0,0.00422363200001,901
900,24.0,0.00431954100001,911
910,24.0,0.00436147800001,921
920,24.0,0.00440341600001,931
930,24.0,0.00447780900001,941
940,24.0,0.00451865200001,951
950,24.0,0.004599609,961
960,24.0,0.004641911,971
970,24.0,0.004707916,981
980,24.0,0.004744383,991
990,24.0,0.004784132,1001
1000,24.0,0.004820235,1011
1010,24.0,0.004859255,1021
1020,24.0,0.004890252,1031
1030,24.0,0.004934377,1041
1040,25.0,0.004972303,1051
1050,25.0,0.005003665,1061
1060,25.0,0.005100303,1071
1070,25.0,0.005133123,1081
1080,25.0,0.005172508,1091
1090,25.0,0.005210434,1101
1100,26.0,0.00524763,1111
1110,26.0,0.005282274,1121
1120,26.0,0.005328223,1131
1130,26.0,0.005364691,1141
1140,26.0,0.005400429,1151
1150,26.0,0.005458777,1161
1160,26.0,0.005505091,1171
1170,27.0,0.005546299,1181
1180,27.0,0.005595165,1191
1190,27.0,0.00563382,1201
1200,27.0,0.005673934,1211
1210,27.0,0.005714777,1221
1220,27.0,0.005750515,1231
1230,27.0,0.005793546,1241
1240,27.0,0.005838401,1251
1250,27.0,0.005876327,1261
1260,27.0,0.005918629,1271
1270,27.0,0.005958013,1281
1280,27.0,0.006002503,1291
1290,27.0,0.006048087,1301
1300,27.0,0.006086013,1311
1310,28.0,0.006126492,1321
1320,31.0,0.006191039,1331
1330,31.0,0.006238082,1341
1340,31.0,0.006276737,1351
1350,31.0,0.006322321,1361
1360,31.0,0.006365717,1371
1370,31.0,0.006409843,1381
1380,31.0,0.006446675,1391
1390,31.0,0.006492259,1401
1400,31.0,0.006530185,1411
1410,31.0,0.006563734,1421
1420,31.0,0.006604577,1431
1430,31.0,0.00663521,1441
1440,31.0,0.006681523,1451
1450,32.0,0.006718355,1461
1460,32.0,0.006765033,1471
1470,32.0,0.006802594,1481
1480,32.0,0.006847449,1491
1490,32.0,0.006917101,1501
1500,32.0,0.006957215,1511
1510,32.0,0.006998788,1521
1520,32.0,0.00704109,1531
1530,32.0,0.007079016,1541
1540,32.0,0.007114389,1551
1550,32.0,0.007152315,1561
1560,32.0,0.007188052,1571
1570,32.0,0.00734012,1581
1580,32.0,0.007377681,1591
1590,32.0,0.00741816,1601
1600,32.0,0.007459003,1611
1610,32.0,0.007499117,1621
1620,32.0,0.007538137,1631
1630,32.0,0.007574969,1641
1640,32.0,0.007632952,1651
1650,32.0,0.007667231,1661
1660,32.0,0.007706251,1671
1670,36.0,0.007742718,1681
1680,36.0,0.007869259,1691
1690,36.0,0.007921772,1701
1700,36.0,0.007960792,1711
1710,36.0,0.00804102,1721
1720,36.0,0.008072382,1731
1730,36.0,0.008113954,1741
1740,36.0,0.008155526,1751
1750,37.0,0.00819564,1761
1760,39.0,0.008231013,1771
1770,39.0,0.008275867,1781
1780,39.0,0.00831124,1791
1790,39.0,0.00835026,1801
1800,39.0,0.008393291,1811
1810,39.0,0.00842283,1821
1820,39.0,0.008473884,1831
1830,39.0,0.008514727,1841
1840,39.0,0.008559217,1851
1850,39.0,0.008601884,1861
1860,39.0,0.008640904,1871
1870,39.0,0.008683206,1881
1880,39.0,0.008720038,1891
1890,39.0,0.008759058,1901
1900,39.0,0.008807195,1911
1910,39.0,0.008848403,1921
1920,39.0,0.008909668,1931
1930,39.0,0.008952334,1941
1940,39.0,0.008986978,1951
1950,39.0,0.009027091,1961
1960,39.0,0.009107684,1971
1970,39.0,0.009137222,1981
1980,39.0,0.00917223,1991
1990,39.0,0.009202863,2001
2000,39.0,0.009252823,2011
2010,39.0,0.009287466,2021
2020,39.0,0.009323934,2031
2030,39.0,0.009410726,2041
2040,39.0,0.009477096,2051
2050,39.0,0.009525962,2061
2060,39.0,0.009563524,2071
2070,39.0,0.009598898,2081
2080,39.0,0.009636095,2091
2090,39.0,0.009680585,2101
2100,39.0,0.009712676,2111
2110,39.0,0.009756072,2121
2120,39.0,0.009796186,2131
2130,39.0,0.009835571,2141
2140,39.0,0.009885167,2151
2150,39.0,0.009923458,2161
2160,39.0,0.009967219,2171
2170,39.0,0.010011344,2181
2180,39.0,0.010044165,2191
2190,39.0,0.010081361,2201
2200,39.0,0.010122569,2211
2210,40.0,0.010197692,2221
2220,40.0,0.010233795,2231
2230,41.0,0.010277555,2241
2240,41.0,0.010315116,2251
2250,41.0,0.010361429,2261
2260,41.0,0.010398625,2271
2270,41.0,0.010436551,2281
2280,42.0,0.010478853,2291
2290,42.0,0.010521155,2301
2300,42.0,0.010568197,2311
2310,42.0,0.010606487,2321
2320,42.0,0.010650247,2331
2330,42.0,0.010712241,2341
2340,43.0,0.010757461,2351
2350,43.0,0.010794657,2361
2360,43.0,0.010831853,2371
2370,44.0,0.010871966,2381
2380,44.0,0.010908798,2391
2390,45.0,0.010957664,2401
2400,50.0,0.010995225,2411
2410,50.0,0.011024763,2421
2420,53.0,0.011064147,2431
2430,53.0,0.011106814,2441
2440,53.0,0.011146564,2451
2450,53.0,0.011181208,2461
2460,54.0,0.011224968,2471
2470,54.0,0.011262164,2481
2480,54.0,0.011300819,2491
2490,54.0,0.011339109,2501
2500,54.0,0.01138214,2511
2510,54.0,0.011449604,2521
2520,54.0,0.011486801,2531
2530,54.0,0.011530926,2541
2540,54.0,0.011603131,2551
2550,54.0,0.011647621,2561
2560,54.0,0.011686277,2571
2570,54.0,0.011731861,2581
2580,54.0,0.01177161,2591
2590,54.0,0.011808077,2601
2600,54.0,0.011851838,2611
2610,54.0,0.011895598,2621
2620,54.0,0.011933889,2631
2630,55.0,0.01197218,2641
2640,56.0,0.012007918,2651
2650,56.0,0.01204949,2661
2660,56.0,0.012090698,2671
2670,56.0,0.012130447,2681
2680,56.0,0.012175667,2691
2690,56.0,0.012208488,2701
2700,56.0,0.012254437,2711
2710,56.0,0.012303303,2721
2720,56.0,0.012340864,2731
2730,56.0,0.012380978,2741
2740,56.0,0.012416716,2751
2750,56.0,0.012461206,2761
2760,56.0,0.012502779,2771
2770,56.0,0.01254107,2781
2780,56.0,0.012581913,2791
2790,56.0,0.012622027,2801
2800,56.0,0.012655212,2811
2810,56.0,0.012689492,2821
2820,56.0,0.012728877,2831
2830,56.0,0.012766803,2841
2840,56.0,0.01280327,2851
2850,56.0,0.012840831,2861
2860,56.0,0.012894438,2871
2870,56.0,0.012933093,2881
2880,56.0,0.013003111,2891
2890,56.0,0.013039943,2901
2900,56.0,0.013075317,2911
2910,56.0,0.013110326,2921
2920,56.0,0.013146793,2931
2930,56.0,0.013187636,2941
2940,56.0,0.013229573,2951
2950,56.0,0.013263488,2961
2960,56.0,0.013299955,2971
2970,56.0,0.013340069,2981
2980,56.0,0.013382006,2991
2990,56.0,0.013462234,3001
3000,57.0,0.013500525,3011
3010,57.0,0.013536627,3021
3020,57.0,0.013574553,3031
3030,58.0,0.013624513,3041
3040,58.0,0.013663897,3051
