iterations,fitness,time,fevals
0,532.0,0.00369303599999,439
10,535.0,0.00677086999997,778
20,533.0,0.0120301729999,1113
30,538.0,0.014140167,1448
40,537.0,0.016538617,1779
50,536.0,0.021502172,2129
60,536.0,0.023590651,2462
70,534.0,0.025321386,2800
80,539.0,0.028130821,3126
90,538.0,0.031792131,3470
100,538.0,0.035490273,3803
110,536.0,0.037469714,4140
120,540.0,0.041887354,4479
130,544.0,0.04474128,4814
140,537.0,0.046950465,5138
150,539.0,0.0513673759999,5470
160,537.0,0.053485028,5802
170,539.0,0.0566835689999,6135
180,543.0,0.058837688,6476
190,542.0,0.060519921,6814
200,539.0,0.0623885019999,7135
210,533.0,0.064102462,7476
220,539.0,0.066423965,7813
230,532.0,0.068818768,8142
240,530.0,0.071269731,8467
250,528.0,0.077928648,8802
260,528.0,0.08362483,9131
270,533.0,0.086190299,9471
280,531.0,0.088557387,9809
290,528.0,0.090842788,10136
300,526.0,0.093227744,10455
310,528.0,0.0955270029999,10793
320,528.0,0.0983572249999,11127
330,530.0,0.105857076,11466
340,532.0,0.108124609,11806
350,530.0,0.109833828,12133
360,530.0,0.114473919,12472
370,522.0,0.116372038,12793
380,528.0,0.121142681,13129
390,528.0,0.12332962,13464
400,530.0,0.127182748,13804
410,526.0,0.130606656,14148
420,530.0,0.132721755,14487
430,532.0,0.135915555,14815
440,528.0,0.138041959,15146
450,532.0,0.139739144,15478
460,530.0,0.142705753,15809
470,528.0,0.144960522,16155
480,530.0,0.148997445,16486
490,532.0,0.151448408,16815
500,530.0,0.153954071,17150
510,524.0,0.158581398,17489
520,526.0,0.160914207,17826
530,526.0,0.163544588,18161
540,528.0,0.167703676,18492
550,528.0,0.171780712,18819
560,528.0,0.17525531,19149
570,530.0,0.177771549,19480
580,528.0,0.179831583,19817
590,524.0,0.185591217,20150
600,526.0,0.187438646,20478
610,528.0,0.189906019,20818
620,528.0,0.19290326,21158
630,528.0,0.194819977,21487
640,528.0,0.196840261,21838
650,530.0,0.1999965,22168
660,530.0,0.202181251,22504
670,528.0,0.204323336,22844
680,522.0,0.206152897,23184
690,524.0,0.208170994,23521
700,530.0,0.213207119,23855
710,526.0,0.215283198,24194
720,528.0,0.21748363,24531
730,524.0,0.22216894,24876
740,528.0,0.231363058,25215
750,526.0,0.236601576,25553
760,524.0,0.240774521,25897
770,526.0,0.245016024,26231
780,530.0,0.247232867,26569
790,530.0,0.249402668,26904
800,532.0,0.251721984,27237
810,536.0,0.253882668,27577
820,534.0,0.257239476,27913
830,534.0,0.259496433,28251
840,532.0,0.261930621,28583
850,534.0,0.266482096,28913
860,532.0,0.268852466,29241
870,534.0,0.273081206,29577
880,534.0,0.275582129,29902
890,534.0,0.277397103,30234
900,536.0,0.279725536,30563
910,542.0,0.282734083,30891
920,536.0,0.285277673,31230
930,542.0,0.28715063,31564
940,534.0,0.289635872,31905
950,536.0,0.29164631,32240
960,536.0,0.295087357,32576
970,538.0,0.299387573,32909
980,532.0,0.301364462,33252
990,532.0,0.304995504,33589
1000,538.0,0.307366239,33926
1010,544.0,0.309509783,34261
1020,542.0,0.312981099,34580
1030,546.0,0.314648746,34915
1040,540.0,0.316280654,35245
1050,540.0,0.319552129,35582
1060,544.0,0.322825063,35924
1070,542.0,0.324770589,36265
1080,542.0,0.327213893,36603
1090,542.0,0.330688856,36935
1100,542.0,0.333323613,37271
1110,542.0,0.337919943,37606
1120,546.0,0.339710119,37929
1130,540.0,0.341765412,38266
1140,542.0,0.34487315,38603
1150,544.0,0.347297127,38934
1160,544.0,0.349588363,39269
1170,542.0,0.351435792,39602
1180,542.0,0.357811358,39937
1190,542.0,0.361614161,40263
1200,544.0,0.363867836,40605
1210,544.0,0.367128007,40943
1220,546.0,0.372109431,41274
1230,552.0,0.374235835,41604
1240,548.0,0.376319208,41944
1250,548.0,0.378052496,42285
1260,546.0,0.379769009,42614
1270,540.0,0.381535117,42950
1280,540.0,0.385932701,43289
1290,544.0,0.387631709,43627
1300,542.0,0.389834695,43960
1310,544.0,0.393855572,44285
1320,544.0,0.395529783,44619
1330,542.0,0.397812996,44948
1340,546.0,0.400786899,45274
1350,540.0,0.403380813,45597
1360,548.0,0.406771171,45930
1370,542.0,0.410824139,46258
1380,542.0,0.412919546,46590
1390,546.0,0.417008981,46924
1400,546.0,0.421424068,47254
1410,546.0,0.423136569,47593
1420,544.0,0.424695908,47920
1430,546.0,0.431781855,48256
1440,546.0,0.434706527,48598
1450,548.0,0.436989011,48929
1460,544.0,0.438923597,49281
1470,548.0,0.442418252,49616
1480,548.0,0.444132211,49955
1490,546.0,0.446430741,50273
1500,548.0,0.449058934,50607
1510,548.0,0.45062192,50935
1520,552.0,0.45263564,51273
1530,548.0,0.457944175,51608
1540,550.0,0.459822602,51935
1550,552.0,0.462243661,52267
1560,548.0,0.464770111,52600
1570,552.0,0.466342943,52932
1580,550.0,0.467958442,53259
1590,552.0,0.471816675,53595
1600,554.0,0.473564549,53928
1610,550.0,0.477652161,54268
1620,550.0,0.479732981,54601
