iterations,fitness,time,fevals
0,561.0,12.265744362,1000
10,635.0,23.445730198,2100
20,669.0,33.047624014,3200
30,703.0,42.299975785,4300
40,713.0,50.625183976,5400
50,715.0,58.733233825,6500
60,713.0,66.717406683,7600
70,714.0,74.07613774,8700
80,715.0,81.483994532,9800
90,715.0,88.81911561,10900
100,717.0,96.0065641,12000
110,719.0,103.115400912,13100
120,717.0,110.360967227,14200
130,717.0,117.469223481,15300
140,717.0,124.533014877,16400
150,717.0,131.652740439,17500
160,717.0,139.116480343,18600
170,717.0,146.349948653,19700
180,719.0,153.581212885,20800
190,721.0,160.794624948,21900
200,725.0,168.077446549,23000
210,723.0,175.300768583,24100
220,725.0,182.484507991,25200
230,727.0,189.672157051,26300
240,725.0,196.877920478,27400
250,725.0,203.992635808,28500
260,725.0,211.061301049,29600
270,725.0,218.221422821,30700
280,727.0,225.372848252,31800
290,729.0,232.89155047,32900
300,725.0,241.305442223,34000
310,727.0,248.993853083,35100
320,729.0,256.22530038,36200
330,729.0,263.326147952,37300
340,727.0,270.505345366,38400
350,729.0,277.694234311,39500
360,727.0,284.788497724,40600
370,729.0,291.919030715,41700
380,727.0,299.04272683,42800
390,729.0,306.139239907,43900
400,729.0,313.224817191,45000
410,729.0,320.263132215,46100
420,731.0,327.380914074,47200
430,731.0,334.429973074,48300
440,733.0,341.737792961,49400
450,731.0,348.777623563,50500
460,731.0,356.097849237,51600
470,731.0,363.189843294,52700
480,733.0,370.266611918,53800
490,731.0,377.408609476,54900
500,729.0,384.578078163,56000
510,731.0,391.81820539,57100
520,733.0,398.901263881,58200
530,735.0,406.082012976,59300
540,735.0,413.218512005,60400
550,735.0,420.283356939,61500
560,735.0,427.328548225,62600
570,735.0,434.373206359,63700
580,735.0,441.518824384,64800
590,733.0,448.640546527,65900
600,735.0,455.684637596,67000
610,735.0,463.229083127,68100
620,737.0,470.552382624,69200
630,739.0,477.788720541,70300
640,737.0,484.995762509,71400
650,741.0,492.227823549,72500
660,737.0,499.328094209,73600
670,739.0,506.423937748,74700
680,739.0,513.486215389,75800
690,739.0,520.514447589,76900
700,739.0,527.911081955,78000
710,739.0,535.544452095,79100
720,741.0,542.822613913,80200
730,741.0,549.943510073,81300
740,739.0,557.056108479,82400
750,739.0,564.190517571,83500
760,739.0,571.451977398,84600
770,737.0,578.667692003,85700
780,741.0,585.732683171,86800
790,739.0,592.961493158,87900
800,739.0,600.60714218,89000
810,739.0,608.179936241,90100
820,739.0,615.355586853,91200
830,739.0,622.448195748,92300
840,739.0,629.696130973,93400
850,739.0,636.857174636,94500
860,739.0,644.245809186,95600
870,743.0,651.46450134,96700
880,743.0,658.897585067,97800
890,745.0,666.433911534,98900
900,747.0,673.671200881,100000
910,747.0,680.765227986,101100
920,747.0,687.854287161,102200
930,747.0,695.084371313,103300
940,749.0,702.154124371,104400
950,749.0,709.351197657,105500
960,749.0,716.544352175,106600
970,751.0,723.618130122,107700
980,751.0,730.780167152,108800
990,749.0,737.909659367,109900
1000,751.0,745.019726583,111000
1010,751.0,752.091375938,112100
1020,751.0,759.20128671,113200
1030,751.0,766.308910622,114300
1040,749.0,773.390774083,115400
1050,751.0,780.550405734,116500
1060,751.0,787.665543354,117600
1070,751.0,794.769864064,118700
1080,749.0,801.921852184,119800
1090,753.0,809.663207627,120900
1100,751.0,817.810419635,122000
1110,751.0,825.05866629,123100
1120,753.0,832.588892882,124200
