iterations,fitness,time,fevals
0,484.0,5.61600000006e-05,11
10,488.0,0.000119978000001,21
20,488.0,0.000202394,31
30,490.0,0.000264023000001,41
40,492.0,0.000326747000001,51
50,494.0,0.000387282000001,61
60,494.0,0.000455111000001,71
70,494.0,0.000519658000001,81
80,494.0,0.000619214000001,91
90,498.0,0.000678291000001,101
100,502.0,0.000747579000001,111
110,506.0,0.000815044000001,121
120,514.0,0.000888344000002,131
130,516.0,0.000943410000001,141
140,518.0,0.001003581,151
150,518.0,0.001057188,161
160,518.0,0.001112983,171
170,520.0,0.001180083,181
180,522.0,0.001244265,191
190,522.0,0.001308812,201
200,526.0,0.00141712,211
210,528.0,0.001481667,221
220,528.0,0.001549861,231
230,528.0,0.001760277,241
240,532.0,0.001824095,251
250,534.0,0.001885725,261
260,538.0,0.001947355,271
270,542.0,0.002018101,281
280,542.0,0.002095776,291
290,542.0,0.002159958,301
300,544.0,0.002247844,311
310,544.0,0.002320778,321
320,546.0,0.002377667,331
330,548.0,0.002447684,341
340,550.0,0.002540311,351
350,550.0,0.002607775,361
360,552.0,0.002675239,371
370,554.0,0.002869609,381
380,554.0,0.002934156,391
390,554.0,0.003020584,401
400,556.0,0.003102635,411
410,556.0,0.003235376,421
420,556.0,0.003299923,431
430,558.0,0.003491011,441
440,562.0,0.003570145,451
450,568.0,0.00364782,461
460,568.0,0.003724766,471
470,568.0,0.003800253,481
480,570.0,0.003873188,491
490,574.0,0.003943205,501
500,574.0,0.004015046,511
510,576.0,0.004095639,521
520,577.0,0.00416675,531
530,583.0,0.004229839,541
540,583.0,0.004290739,551
550,585.0,0.004363309,561
560,585.0,0.004469064,571
570,591.0,0.00457956,581
580,591.0,0.004653588,591
590,591.0,0.004732357,601
600,591.0,0.004792892,611
610,591.0,0.004854157,621
620,591.0,0.00491688,631
630,591.0,0.004983251,641
640,591.0,0.005053632,651
650,591.0,0.005115991,661
660,593.0,0.005181632,671
670,593.0,0.005392778,681
680,593.0,0.005561986,691
690,595.0,0.005627627,701
700,595.0,0.005694727,711
710,597.0,0.005783707,721
720,599.0,0.005881804,731
730,599.0,0.006029496,741
740,599.0,0.006092585,751
750,601.0,0.006155309,761
760,601.0,0.006227149,771
770,605.0,0.006300084,781
780,605.0,0.006367549,791
790,607.0,0.00647221,801
800,607.0,0.006535663,811
810,607.0,0.006625372,821
820,607.0,0.006687367,831
830,607.0,0.006748997,841
840,609.0,0.006963424,851
850,611.0,0.007045111,861
860,613.0,0.007119869,871
870,613.0,0.007184051,881
880,617.0,0.007246045,891
890,617.0,0.00731205,901
900,617.0,0.007379515,911
910,617.0,0.007444792,921
920,619.0,0.007510069,931
930,621.0,0.007580086,941
940,621.0,0.007647551,951
950,623.0,0.007708816,961
960,625.0,0.007817124,971
970,627.0,0.007882765,981
980,627.0,0.007993626,991
990,629.0,0.008052338,1001
1000,631.0,0.008204406,1011
1010,637.0,0.008276246,1021
1020,637.0,0.00834444,1031
1030,639.0,0.008425762,1041
1040,639.0,0.00848885,1051
1050,639.0,0.008561785,1061
1060,639.0,0.008624874,1071
1070,639.0,0.008747404,1081
1080,639.0,0.008799917,1091
1090,639.0,0.008871392,1101
1100,639.0,0.008942503,1111
1110,639.0,0.009011791,1121
1120,641.0,0.009071233,1131
1130,643.0,0.009148544,1141
1140,645.0,0.009217832,1151
1150,649.0,0.009338174,1161
1160,651.0,0.009462163,1171
1170,651.0,0.009545308,1181
1180,651.0,0.009612043,1191
1190,653.0,0.009674038,1201
1200,657.0,0.00973348,1211
1210,659.0,0.009792192,1221
1220,659.0,0.009931497,1231
1230,659.0,0.009994585,1241
1240,659.0,0.010056579,1251
1250,659.0,0.010121855,1261
1260,659.0,0.010180202,1271
1270,659.0,0.010246937,1281
1280,659.0,0.010385512,1291
1290,661.0,0.010447506,1301
1300,661.0,0.010507677,1311
1310,661.0,0.010573682,1321
1320,661.0,0.010649534,1331
1330,661.0,0.010710799,1341
1340,663.0,0.01079905,1351
1350,663.0,0.010864691,1361
1360,663.0,0.010925591,1371
1370,665.0,0.010980292,1381
1380,665.0,0.011049215,1391
1390,667.0,0.011122149,1401
1400,669.0,0.011317613,1411
1410,671.0,0.011400393,1421
1420,671.0,0.011455823,1431
1430,671.0,0.01152657,1441
1440,675.0,0.011589659,1451
1450,675.0,0.011647277,1461
1460,675.0,0.011790958,1471
1470,675.0,0.011860975,1481
1480,675.0,0.011925157,1491
1490,675.0,0.011997727,1501
1500,675.0,0.012064462,1511
1510,675.0,0.012138126,1521
1520,677.0,0.012204861,1531
1530,677.0,0.01231791,1541
1540,677.0,0.012380633,1551
1550,679.0,0.012451015,1561
1560,679.0,0.012506081,1571
1570,681.0,0.012652315,1581
1580,681.0,0.012712122,1591
1590,681.0,0.012790891,1601
1600,683.0,0.012850332,1611
1610,683.0,0.012909044,1621
1620,685.0,0.012998753,1631
1630,685.0,0.013061842,1641
1640,685.0,0.013127118,1651
1650,685.0,0.013188018,1661
1660,687.0,0.013247825,1671
1670,687.0,0.013351392,1681
1680,687.0,0.013415574,1691
1690,689.0,0.013508201,1701
