iterations,fitness,time,fevals
0,0.0227910597888,1.663612415,1000
10,0.0228579841212,3.32786957,2100
20,0.0225729751249,4.944728079,3200
30,0.022284314996,6.614501632,4300
40,0.0225784657379,8.282813214,5400
50,0.0228503158254,9.911796712,6500
60,0.0225523606078,11.545617223,7600
70,0.0225714312228,13.194724433,8700
80,0.0222952142408,14.872366155,9800
90,0.0229579697915,16.525334514,10900
100,0.0226782351276,18.163175537,12000
110,0.0228460928765,19.811938131,13100
120,0.0240023648107,21.481816345,14200
130,0.0223446868478,23.120058144,15300
140,0.0226207438026,24.762784682,16400
150,0.0225655039405,26.396188373,17500
160,0.0222082369862,28.043584905,18600
170,0.0232766173111,29.702815053,19700
180,0.0237110386246,31.333085479,20800
190,0.0231700907108,32.974622092,21900
200,0.0228376109696,34.633976958,23000
210,0.0223613416943,36.29343612,24100
220,0.0227507106457,37.921058661,25200
230,0.0230942513384,39.600060612,26300
240,0.0229425872301,41.261640343,27400
250,0.0225911123195,42.902381605,28500
260,0.0229344799562,44.571122771,29600
270,0.0235530902423,46.197461665,30700
280,0.0226718805691,47.861584621,31800
290,0.0238575229438,49.484746125,32900
300,0.0223431667132,51.194562884,34000
310,0.022477859553,52.837015553,35100
320,0.0232361605738,54.46892664,36200
330,0.0220404033215,56.104612085,37300
340,0.0226626624124,57.722386286,38400
350,0.0234357486826,59.390706255,39500
360,0.024603919874,61.038382854,40600
370,0.02422881271,62.649667347,41700
380,0.0226163391026,64.302417633,42800
390,0.0230575935212,65.97573033,43900
400,0.0225861552949,67.614338624,45000
410,0.0225542070398,69.238984345,46100
420,0.0226714414134,70.898437307,47200
430,0.0224182480541,72.549285827,48300
440,0.0238351133747,74.301807171,49400
450,0.0222563892919,75.983460289,50500
460,0.0236304889834,77.669687491,51600
470,0.0223515979074,79.363747489,52700
480,0.0232253250099,81.081761717,53800
490,0.023788829249,82.794152333,54900
500,0.0228791860299,84.498021287,56000
510,0.0227404071495,86.167685803,57100
520,0.0227608072432,87.817803519,58200
530,0.0233695986316,89.463854775,59300
540,0.0234755622269,91.090452952,60400
550,0.0226396628358,92.72685279,61500
560,0.0223304460546,94.36167068,62600
570,0.0239733638892,95.999470496,63700
580,0.0230401640056,97.622056548,64800
590,0.0237331309412,99.277515619,65900
600,0.0235489556766,100.924837393,67000
610,0.0226751024421,102.548265838,68100
620,0.0230487842677,104.19409829,69200
630,0.022285579226,105.829494186,70300
640,0.0233491639978,107.496014863,71400
650,0.0233726666592,109.132790314,72500
660,0.0229226385074,110.792964234,73600
670,0.0235437645979,112.427182238,74700
680,0.0228903144195,114.096009831,75800
690,0.0226724783082,115.750303045,76900
700,0.022544422907,117.37804374,78000
710,0.0225178376662,119.033294949,79100
720,0.0231669527636,120.696164161,80200
730,0.023318031257,122.339665628,81300
740,0.0232589203444,123.980907586,82400
750,0.0239842735524,125.675541943,83500
760,0.0223981585464,127.410206744,84600
770,0.0232214641126,129.050979003,85700
780,0.0225195347833,130.680186409,86800
790,0.0219133227949,132.337363452,87900
800,0.0225640745768,133.997499081,89000
810,0.0232180880407,135.616905555,90100
820,0.0236239533273,137.24188641,91200
830,0.0231740241535,138.88265174,92300
840,0.022663087985,140.569246897,93400
850,0.0224672202097,142.207709687,94500
860,0.0226212579141,143.819611934,95600
870,0.0230532183876,145.451611636,96700
880,0.0237900050899,147.106667016,97800
890,0.0236564042292,148.754580653,98900
900,0.0229206660858,150.403376432,100000
910,0.0227953720495,152.044499506,101100
920,0.0228479088589,153.70184138,102200
930,0.0226086368555,155.347896647,103300
940,0.0228753583941,156.986202627,104400
950,0.0232615017229,158.61644935,105500
960,0.0228501142233,160.254924173,106600
970,0.0231508207226,161.904183451,107700
980,0.0229379686498,163.535102629,108800
990,0.0236190135262,165.187004686,109900
1000,0.0224976798822,166.842785034,111000
1010,0.0230991307164,168.484798273,112100
1020,0.0233567189965,170.144017481,113200
1030,0.0222411605756,171.775070859,114300
1040,0.0225059838181,173.420515664,115400
1050,0.0233571813588,175.039289432,116500
1060,0.0224972352091,176.694411547,117600
1070,0.0231298617682,178.333248855,118700
1080,0.0229070964283,179.98581571,119800
1090,0.0231972122005,181.633973312,120900
1100,0.0220758998059,183.265927066,122000
1110,0.0226204856856,184.921949192,123100
1120,0.0237136793792,186.565044779,124200
1130,0.0230958406185,188.211127031,125300
1140,0.022520963621,189.841763953,126400
1150,0.0229032969398,191.495303754,127500
1160,0.024394485597,193.147282028,128600
1170,0.0226325599514,194.826160355,129700
1180,0.0232186382043,196.450316685,130800
1190,0.0226324855397,198.079136081,131900
1200,0.0237825608425,199.747549407,133000
1210,0.0232520812779,201.404526244,134100
1220,0.0231317097805,203.039365285,135200
1230,0.0221631753508,204.682151264,136300
1240,0.0238127766826,206.334875657,137400
1250,0.0250256472712,207.996647206,138500
1260,0.0229542024725,209.619371104,139600
1270,0.0223578809973,211.242025714,140700
1280,0.0221919090012,212.910389444,141800
1290,0.0229607635731,214.577141687,142900
1300,0.0236589102045,216.199282838,144000
1310,0.0231156379885,217.838557024,145100
1320,0.0237165777459,219.493547127,146200
1330,0.0228899812478,221.151603029,147300
1340,0.0229724650185,222.789352884,148400
1350,0.0229197837143,224.417065498,149500
1360,0.0231770732971,226.060781027,150600
1370,0.0227009076132,227.697075475,151700
1380,0.0228741896586,229.341282583,152800
1390,0.0240982974452,230.972017602,153900
1400,0.0222271803372,232.616227627,155000
1410,0.0225119243194,234.245099535,156100
1420,0.0232303207337,235.927769359,157200
1430,0.0228687620989,237.560855784,158300
1440,0.0232227482778,239.204612156,159400
1450,0.0229525810513,240.830866811,160500
1460,0.022648049613,242.495716194,161600
1470,0.0230077486822,244.147049727,162700
1480,0.0221727751403,245.805907909,163800
1490,0.0234810581291,247.44411251,164900
1500,0.0231346324694,249.110087272,166000
1510,0.0227387997867,250.751763919,167100
1520,0.0229541993541,252.395769363,168200
1530,0.0233223419975,254.002550518,169300
1540,0.0241116587299,255.654643664,170400
1550,0.0228534190239,257.270673638,171500
1560,0.023085274357,258.942326348,172600
1570,0.0222316883588,260.566881994,173700
1580,0.0234538881658,262.210000919,174800
1590,0.0233349603883,263.860077063,175900
1600,0.0227336129959,265.519454903,177000
1610,0.022521408379,267.168164984,178100
1620,0.0239458226942,268.808072605,179200
1630,0.0230617160883,270.471762695,180300
1640,0.0236098134911,272.152763049,181400
1650,0.0232006492942,273.780607675,182500
1660,0.0232163876664,275.399653852,183600
1670,0.0230879928292,277.056865538,184700
1680,0.022752166163,278.726863,185800
1690,0.022347955639,280.351512732,186900
1700,0.023185699091,281.999671429,188000
1710,0.0226400155842,283.640304384,189100
1720,0.0220578074882,285.313615259,190200
1730,0.0259652170642,286.963655665,191300
1740,0.0231934361815,288.588423187,192400
1750,0.0231964336101,290.251720524,193500
1760,0.0229941888028,291.91104111,194600
1770,0.0228693115869,293.54636006,195700
1780,0.0224756332929,295.185014302,196800
1790,0.0236075791898,296.829446048,197900
1800,0.0229653349162,298.481405724,199000
1810,0.0220711086998,300.117653495,200100
1820,0.0224690429529,301.753561391,201200
1830,0.023663169854,303.394503223,202300
1840,0.022528916903,305.073527053,203400
1850,0.0244743906005,306.700938813,204500
1860,0.0236673630408,308.338077842,205600
1870,0.0235995267308,309.995707808,206700
1880,0.0228940124469,311.649075119,207800
1890,0.0229849660325,313.263768569,208900
1900,0.0234063213462,314.898687838,210000
1910,0.0218042795147,316.600339585,211100
1920,0.0229940886723,318.242405702,212200
1930,0.0230108921276,319.885918474,213300
1940,0.022566140874,321.525742221,214400
1950,0.0235093686801,323.219023644,215500
1960,0.0236791069743,324.872055821,216600
1970,0.0220013200367,326.528798174,217700
1980,0.0228104740655,328.167389692,218800
1990,0.0223895419918,329.832508203,219900
2000,0.0227990690602,331.483232734,221000
2010,0.0223265833279,333.129426576,222100
2020,0.0225096457611,334.744289233,223200
2030,0.0234301970251,336.417997601,224300
2040,0.023166598563,338.052391742,225400
2050,0.0243056132748,339.681602066,226500
2060,0.0232265101424,341.336823007,227600
2070,0.0228540617966,342.951748388,228700
2080,0.0220008411666,344.584609446,229800
2090,0.0223251759065,346.230216896,230900
2100,0.0228726802541,347.881972356,232000
2110,0.0237914264183,349.536391382,233100
2120,0.0235768824648,351.180501123,234200
2130,0.0219779326042,352.828850179,235300
2140,0.0229272350137,354.471542073,236400
2150,0.0232728542407,356.094165686,237500
2160,0.0225118708669,357.730137764,238600
2170,0.0232048968473,359.363663984,239700
2180,0.0228650960825,361.033145435,240800
2190,0.022534327218,362.690675845,241900
2200,0.022915763743,364.349257606,243000
2210,0.0225520461006,365.990413865,244100
2220,0.0227522244009,367.632839548,245200
2230,0.0228208366891,369.364065124,246300
2240,0.0223879221924,371.003692313,247400
2250,0.0234053414162,372.631373566,248500
2260,0.0223130864148,374.262305872,249600
2270,0.0236192445773,375.892074144,250700
2280,0.0233575103428,377.52124326,251800
2290,0.022383278577,379.167033774,252900
2300,0.0230352166408,380.779280637,254000
2310,0.0236972504343,382.432157463,255100
