iterations,fitness,time,fevals
0,28.0,0.000726427000018,463
10,30.0,0.00133324199999,826
20,30.0,0.001953915,1189
30,32.0,0.002613242,1549
40,32.0,0.00315368600002,1913
50,34.0,0.00367188500002,2274
60,36.0,0.00430860200004,2643
70,33.0,0.00495370700003,3002
80,34.0,0.00557109800002,3362
90,34.0,0.00609039100004,3724
100,34.0,0.00660749600002,4093
110,36.0,0.00724749600005,4460
120,37.0,0.00792177500006,4824
130,35.0,0.00847972300005,5196
140,35.0,0.00896546700005,5565
150,35.0,0.00944063500003,5928
160,35.0,0.010156852,6301
170,39.0,0.011228259,6671
180,35.0,0.011889409,7032
190,37.0,0.012484919,7396
200,38.0,0.012959723,7763
210,36.0,0.013447655,8127
220,36.0,0.013997945,8501
230,37.0,0.014572668,8863
240,37.0,0.015152497,9225
250,39.0,0.016109032,9591
260,42.0,0.016659323,9962
270,43.0,0.017478012,10339
280,44.0,0.0180680519999,10710
290,44.0,0.018726651,11077
300,44.0,0.019197079,11448
310,44.0,0.019664953,11819
320,44.0,0.0200967249999,12193
330,51.0,0.0206134659999,12557
340,44.0,0.022952474,12921
350,44.0,0.023434935,13286
360,51.0,0.0239206779999,13651
370,52.0,0.024509259,14013
380,52.0,0.025097111,14384
390,52.0,0.025702102,14746
400,52.0,0.0265466829999,15117
410,52.0,0.027156051,15491
420,52.0,0.028004644,15849
430,52.0,0.0285567569999,16214
440,52.0,0.029155913,16570
450,52.0,0.029726989,16935
460,52.0,0.030240812,17307
470,52.0,0.030707957,17671
480,53.0,0.031298361,18036
490,53.0,0.032098817,18410
500,53.0,0.03252439,18782
510,53.0,0.03320888,19149
520,53.0,0.0338455979999,19515
530,53.0,0.0344232389999,19885
540,53.0,0.0350125489999,20259
550,59.0,0.0356014949999,20629
560,59.0,0.0360380079998,21005
570,59.0,0.0366338829998,21369
580,59.0,0.0371152499998,21735
590,59.0,0.0376848679998,22105
600,59.0,0.0384477629997,22481
610,59.0,0.0390403559997,22847
620,59.0,0.0394910909997,23213
630,59.0,0.0400603439997,23581
640,59.0,0.0406627829997,23940
650,59.0,0.0412342249998,24304
660,59.0,0.0419340309998,24669
670,59.0,0.0425116719998,25034
680,59.0,0.0443962979998,25404
690,59.0,0.0450005599997,25763
700,59.0,0.0476178129997,26124
710,69.0,0.0482187929997,26493
720,59.0,0.0488274309997,26856
730,69.0,0.0493813679997,27232
740,58.0,0.0499356699997,27604
750,70.0,0.0503422799997,27974
760,59.0,0.0509374259996,28340
770,59.0,0.0515621099996,28710
780,59.0,0.0520398309996,29076
790,59.0,0.0525583949996,29449
800,58.0,0.0531484349996,29819
810,60.0,0.0537570729996,30188
820,60.0,0.0543514889995,30554
830,60.0,0.0549232949995,30920
840,71.0,0.0558615959995,31278
850,70.0,0.0564275669995,31657
860,70.0,0.0570052079995,32028
870,71.0,0.0575693559995,32394
880,71.0,0.0579883649995,32753
890,71.0,0.0585707469995,33123
900,71.0,0.0589970489995,33493
910,72.0,0.0594517949995,33867
920,71.0,0.0603237269995,34227
930,71.0,0.0609753959995,34598
940,71.0,0.0615180279995,34970
950,72.0,0.0619085919995,35333
960,72.0,0.0625179599995,35699
970,72.0,0.0630937769996,36060
980,72.0,0.0636371389996,36428
990,73.0,0.0642005579996,36800
1000,72.0,0.0647840339996,37169
1010,72.0,0.0655352579996,37538
1020,72.0,0.0661132629996,37910
1030,73.0,0.0669538319996,38277
1040,74.0,0.0675026639997,38641
1050,75.0,0.0680460249997,39004
1060,74.0,0.0720421039997,39375
1070,74.0,0.0726398019997,39740
1080,75.0,0.0730413059997,40096
1090,74.0,0.0734501029997,40463
1100,75.0,0.0738902629997,40831
1110,75.0,0.0743209409997,41197
1120,75.0,0.0748194479997,41564
1130,74.0,0.0754021949997,41934
1140,75.0,0.0758215679997,42298
1150,74.0,0.0762179669997,42666
1160,74.0,0.0768032659997,43037
1170,74.0,0.0773692369996,43406
1180,71.0,0.0779147869997,43778
1190,71.0,0.0784103759996,44139
1200,72.0,0.0789285749996,44503
1210,73.0,0.0793184099996,44863
1220,73.0,0.0798774529997,45225
1230,71.0,0.0802855209997,45591
1240,72.0,0.0808555039997,45957
1250,71.0,0.0814681529997,46327
1260,71.0,0.0822507389997,46687
1270,71.0,0.0827889959997,47060
