iterations,fitness,time,fevals
0,23.0,0.121705733,1000
10,31.0,0.247174883,2100
20,34.0,0.360339626,3200
30,38.0,0.446258608,4300
40,40.0,0.529518399,5400
50,46.0,0.608511159,6500
60,48.0,0.691781891,7600
70,49.0,0.767735837,8700
80,50.0,0.870338212,9800
90,49.0,0.96135203,10900
100,53.0,1.038850364,12000
110,48.0,1.121721415,13100
120,49.0,1.204170175,14200
130,48.0,1.282728976,15300
140,48.0,1.388316558,16400
150,51.0,1.464775211,17500
160,48.0,1.53870559,18600
170,51.0,1.611855571,19700
180,48.0,1.677983787,20800
190,49.0,1.747872139,21900
200,48.0,1.829343212,23000
210,48.0,1.91241228,24100
220,50.0,1.987558842,25200
230,50.0,2.094548953,26300
240,53.0,2.174478922,27400
250,51.0,2.238912141,28500
260,51.0,2.310894806,29600
270,63.0,2.383848593,30700
280,55.0,2.448839396,31800
290,53.0,2.51448588,32900
300,57.0,2.59707358,34000
310,54.0,2.664560565,35100
320,54.0,2.731248188,36200
330,63.0,2.812867683,37300
340,59.0,2.883666257,38400
350,64.0,2.965848806,39500
360,60.0,3.053899662,40600
370,57.0,3.136114667,41700
380,60.0,3.221350252,42800
390,60.0,3.305232539,43900
400,61.0,3.37613942,45000
410,61.0,3.445087282,46100
420,58.0,3.52289741,47200
430,58.0,3.598686159,48300
440,72.0,3.685671078,49400
450,61.0,3.754705003,50500
460,59.0,3.820688809,51600
470,61.0,3.886915487,52700
480,61.0,3.967058789,53800
490,61.0,4.036478172,54900
500,61.0,4.102318661,56000
510,59.0,4.170261486,57100
520,62.0,4.233923423,58200
530,59.0,4.311208788,59300
540,59.0,4.387731258,60400
550,73.0,4.473636382,61500
560,68.0,4.542710421,62600
570,66.0,4.629064092,63700
580,68.0,4.70395283,64800
590,65.0,4.80263206,65900
600,63.0,4.877937254,67000
610,67.0,4.936551762,68100
620,59.0,5.017258482,69200
630,74.0,5.090291038,70300
640,68.0,5.168037349,71400
650,64.0,5.258768546,72500
660,67.0,5.339277978,73600
670,67.0,5.420871581,74700
680,64.0,5.487284606,75800
690,67.0,5.55747673,76900
700,64.0,5.634885719,78000
710,67.0,5.70076924,79100
720,67.0,5.766161182,80200
730,67.0,5.845532108,81300
740,71.0,5.920018613,82400
750,68.0,5.994227238,83500
760,67.0,6.066603385,84600
770,68.0,6.140500215,85700
780,68.0,6.219649785,86800
790,67.0,6.284704771,87900
800,68.0,6.354255071,89000
