iterations,fitness,time,fevals
0,12.0,2.55270000018e-05,11
10,14.0,5.57940000014e-05,21
20,14.0,8.38740000013e-05,31
30,14.0,0.000115600000001,41
40,14.0,0.000143314999999,51
50,15.0,0.000170664999999,61
60,15.0,0.000196920999997,71
70,16.0,0.000231929999998,81
80,16.0,0.000270949999997,91
90,16.0,0.000305593999997,101
100,17.0,0.000334037999995,111
110,17.0,0.000358835999997,121
120,18.0,0.000383268999997,131
130,19.0,0.000410618999997,141
140,19.0,0.000485011999995,151
150,19.0,0.000513090999995,161
160,20.0,0.000540441999995,171
170,20.0,0.000568886999996,181
180,20.0,0.000598425999996,191
190,22.0,0.000639268999997,201
200,22.0,0.000661513999997,211
210,22.0,0.000685581999996,221
220,23.0,0.000716213999993,231
230,23.0,0.000741011999995,241
240,24.0,0.000769091999995,251
250,24.0,0.000794982999995,261
260,24.0,0.000840202999996,271
270,26.0,0.000864271999994,281
280,26.0,0.000892715999996,291
290,26.0,0.000924806999997,301
300,27.0,0.000964555999996,311
310,27.0,0.000993729999994,321
320,27.0,0.00101925699999,331
330,27.0,0.00104915999999,341
340,27.0,0.00108161599999,351
350,27.0,0.00110750799999,361
360,27.0,0.00114032799999,371
370,27.0,0.00117059499999,381
380,27.0,0.00120195699999,391
390,27.0,0.00123295399999,401
400,27.0,0.00126650399999,411
410,27.0,0.00132120499999,421
420,27.0,0.00135256699999,431
430,27.0,0.001386846,441
440,27.0,0.001417114,451
450,27.0,0.001445558,461
460,27.0,0.00147181399999,471
470,27.0,0.00150281099999,481
480,28.0,0.001529068,491
490,28.0,0.00155824199999,501
500,28.0,0.001585228,511
510,28.0,0.001621331,521
520,28.0,0.00166144499999,531
530,30.0,0.00172453299999,541
540,30.0,0.00175625899999,551
550,30.0,0.00179163199999,561
560,30.0,0.00182591099999,571
570,30.0,0.00185399099999,581
580,30.0,0.001881706,591
590,30.0,0.001905045,601
600,30.0,0.00193276,611
610,30.0,0.001964122,621
620,30.0,0.002003142,631
630,30.0,0.002030128,641
640,30.0,0.002060761,651
650,30.0,0.002093946,661
660,30.0,0.002117285,671
670,30.0,0.002143906,681
680,30.0,0.00217818499999,691
690,30.0,0.00220589999999,701
700,30.0,0.00223689699999,711
710,30.0,0.00226424799999,721
720,31.0,0.00229488099999,731
730,31.0,0.00235104099999,741
740,31.0,0.00238969599999,751
750,31.0,0.00246007799999,761
760,31.0,0.00250456799999,771
770,31.0,0.00255015199999,781
780,32.0,0.00259099599999,791
790,32.0,0.00263657999999,801
800,32.0,0.00268070499999,811
810,32.0,0.00274379299999,821
820,32.0,0.00278244899999,831
830,42.0,0.00284808999999,841
840,42.0,0.00288747499998,851
850,42.0,0.00292868299998,861
860,42.0,0.00297061999998,871
870,42.0,0.00301328699998,881
880,42.0,0.00305741199998,891
890,42.0,0.00309752599998,901
900,42.0,0.00314456799998,911
910,42.0,0.00319306899998,921
920,43.0,0.00323208899998,931
930,43.0,0.00326563799998,941
940,43.0,0.00330137499998,951
950,43.0,0.00333419599998,961
960,43.0,0.00338196799998,971
970,43.0,0.00342281099998,981
980,43.0,0.00346255999998,991
990,43.0,0.00350522699998,1001
1000,43.0,0.00353731899999,1011
1010,43.0,0.00358034999999,1021
1020,43.0,0.00361718199999,1031
1030,43.0,0.00365766099998,1041
1040,43.0,0.00369886899999,1051
1050,44.0,0.00373460699998,1061
1060,44.0,0.00377472099998,1071
1070,44.0,0.00381592899999,1081
1080,44.0,0.00387135999999,1091
1090,44.0,0.00390819199999,1101
