iterations,fitness,time,fevals
0,566.0,11.587794491,1000
10,612.0,22.293050659,2100
20,654.0,32.078861843,3200
30,694.0,41.192569947,4300
40,714.0,49.296388139,5400
50,718.0,57.712754559,6500
60,724.0,65.568001902,7600
70,722.0,73.303588959,8700
80,722.0,81.712871255,9800
90,722.0,89.577133296,10900
100,728.0,97.365329437,12000
110,724.0,104.817701412,13100
120,732.0,112.433941801,14200
130,728.0,120.026119289,15300
140,732.0,127.450594927,16400
150,728.0,134.994644423,17500
160,728.0,142.451778289,18600
170,728.0,150.206265582,19700
180,728.0,157.804715068,20800
190,728.0,165.383213698,21900
200,728.0,172.999950406,23000
210,730.0,180.863469245,24100
220,728.0,188.392941331,25200
230,730.0,195.859923172,26300
240,730.0,203.702311075,27400
250,730.0,210.912965851,28500
260,734.0,218.036062079,29600
270,734.0,225.741935637,30700
280,732.0,233.244964605,31800
290,732.0,240.717903733,32900
300,734.0,248.063707887,34000
310,732.0,255.789511151,35100
320,732.0,262.884317196,36200
330,732.0,270.119520253,37300
340,736.0,277.211600737,38400
350,736.0,284.812233881,39500
360,736.0,292.361784459,40600
370,732.0,299.730462683,41700
380,732.0,307.047937634,42800
390,732.0,314.354797703,43900
400,734.0,321.668504859,45000
410,732.0,329.268203712,46100
420,738.0,337.225716837,47200
430,738.0,344.588757956,48300
440,740.0,351.743292948,49400
450,740.0,359.042561634,50500
460,740.0,366.183103785,51600
470,740.0,373.200866973,52700
480,740.0,380.464184441,53800
490,740.0,387.859772928,54900
500,740.0,394.919035823,56000
510,742.0,401.932942965,57100
520,742.0,409.657902012,58200
530,742.0,418.032953248,59300
540,742.0,425.502560729,60400
550,742.0,432.709116224,61500
560,742.0,440.077553764,62600
570,744.0,447.733757861,63700
580,742.0,455.17871313,64800
590,744.0,462.350871275,65900
600,742.0,469.817596022,67000
610,742.0,477.061668274,68100
620,742.0,484.626635009,69200
630,742.0,492.561430144,70300
640,742.0,502.789440404,71400
650,744.0,511.429042065,72500
660,746.0,519.487085496,73600
670,746.0,527.415277874,74700
680,750.0,535.36574553,75800
690,750.0,543.028230742,76900
700,750.0,550.626461425,78000
710,750.0,558.592209215,79100
720,750.0,566.464552031,80200
730,750.0,573.965667928,81300
740,750.0,581.665742832,82400
750,752.0,589.349978924,83500
760,750.0,597.237013657,84600
770,754.0,604.81475231,85700
780,752.0,612.573318097,86800
790,750.0,620.128241027,87900
800,750.0,628.020749856,89000
810,750.0,635.803555776,90100
820,750.0,643.888184182,91200
830,752.0,651.566607033,92300
840,750.0,659.517998403,93400
850,752.0,667.755970052,94500
860,752.0,675.695181003,95600
870,750.0,683.885569481,96700
