iterations,fitness,time,fevals
0,503.0,5.8348e-05,11
10,507.0,0.00012253,21
20,515.0,0.00021078,31
30,515.0,0.000279339,41
40,517.0,0.00035118,51
50,517.0,0.000421927000001,61
60,523.0,0.000629426000001,71
70,523.0,0.000705278000001,81
80,523.0,0.000776389000001,91
90,527.0,0.000851512000001,101
100,529.0,0.000914965000001,111
110,533.0,0.000979512000001,121
120,533.0,0.001041141,131
130,533.0,0.001164401,141
140,535.0,0.001239159,151
150,537.0,0.001333974,161
160,539.0,0.001405085,171
170,541.0,0.001547672,181
180,547.0,0.001628994,191
190,549.0,0.001692447,201
200,551.0,0.001759547,211
210,555.0,0.001828105,221
220,557.0,0.001900675,231
230,557.0,0.001965586,241
240,557.0,0.002039979,251
250,559.0,0.002118383,261
260,561.0,0.002201163,271
270,561.0,0.00228212,281
280,561.0,0.002375841,291
290,561.0,0.002446588,301
300,561.0,0.002526087,311
310,563.0,0.002596469,321
320,563.0,0.002681802,331
330,563.0,0.00275583,341
340,563.0,0.002829858,351
350,567.0,0.002899146,361
360,571.0,0.003018394,371
370,571.0,0.003096069,381
380,577.0,0.003161345,391
390,577.0,0.003264911,401
400,577.0,0.003336022,411
410,577.0,0.003407498,421
420,577.0,0.003478244,431
430,579.0,0.003543156,441
440,581.0,0.003617549,451
450,581.0,0.003697413,461
460,583.0,0.003764512,471
470,583.0,0.003834894,481
480,587.0,0.003942837,491
490,587.0,0.004000091,501
500,587.0,0.004078495,511
510,589.0,0.004152159,521
520,593.0,0.004217435,531
530,593.0,0.004284535,541
540,595.0,0.004353823,551
550,595.0,0.0044191,561
560,595.0,0.004485106,571
570,595.0,0.004556217,581
580,595.0,0.00463134,591
590,599.0,0.004699898,601
600,599.0,0.004766269,611
610,601.0,0.004830451,621
620,607.0,0.004895728,631
630,607.0,0.00495444,641
640,607.0,0.005107238,651
650,609.0,0.005165221,661
660,611.0,0.005240343,671
670,613.0,0.005312548,681
680,617.0,0.005401163,691
690,617.0,0.005455864,701
700,617.0,0.005524787,711
710,617.0,0.005598086,721
720,617.0,0.005671749,731
730,619.0,0.005733744,741
740,621.0,0.005808502,751
750,621.0,0.005880342,761
760,621.0,0.005953276,771
770,621.0,0.006023658,781
780,623.0,0.006092581,791
790,627.0,0.006164786,801
800,629.0,0.006274552,811
810,633.0,0.006340193,821
820,633.0,0.006401823,831
830,633.0,0.006466005,841
840,633.0,0.006548421,851
850,635.0,0.006631931,861
860,635.0,0.00670523,871
870,635.0,0.006768318,881
880,635.0,0.006842347,891
890,637.0,0.006906894,901
900,637.0,0.006999156,911
910,639.0,0.007094336,921
920,639.0,0.007173835,931
930,639.0,0.007315328,941
940,641.0,0.007383886,951
