iterations,fitness,time,fevals
0,532.0,7.25700000004e-05,11
10,530.0,0.000124718000002,21
20,530.0,0.000179418999998,31
30,532.0,0.000232297000004,41
40,532.0,0.000314713000002,51
50,534.0,0.000381448000006,61
60,536.0,0.000435055000004,71
70,538.0,0.000488297000004,81
80,540.0,0.000543362999998,91
90,542.0,0.000598063999995,101
100,544.0,0.00066078799999,111
110,544.0,0.000718041999988,121
120,544.0,0.000780035999988,131
130,548.0,0.000838018999985,141
140,552.0,0.000904753999983,151
150,554.0,0.000957995999983,161
160,554.0,0.00101524899998,171
170,556.0,0.00106557399999,181
180,556.0,0.00112246299999,191
190,556.0,0.00117971699999,201
200,558.0,0.00123478299999,211
210,560.0,0.001311364,221
220,560.0,0.0013719,231
230,564.0,0.001437176,241
240,564.0,0.001497712,251
250,564.0,0.001551684,261
260,570.0,0.001610761,271
270,570.0,0.001661815,281
280,572.0,0.001710317,291
290,576.0,0.00176757000001,301
300,578.0,0.001828835,311
310,578.0,0.00190906300001,321
320,578.0,0.00195902400001,331
330,580.0,0.00201810100001,341
340,582.0,0.00207717800001,351
350,584.0,0.00215558200001,361
360,586.0,0.00224273900002,371
370,590.0,0.00231312100001,381
380,590.0,0.00236308100001,391
390,590.0,0.00241085300001,401
400,592.0,0.00247321200001,411
410,592.0,0.00260194200001,421
420,598.0,0.00265737200002,431
430,598.0,0.00272702400002,441
440,600.0,0.00277880800002,451
450,600.0,0.00284189600001,461
460,602.0,0.00291081900001,471
470,604.0,0.00297062500001,481
480,604.0,0.00301803200001,491
490,604.0,0.00306945100001,501
500,606.0,0.003127799,511
510,606.0,0.003190887,521
520,608.0,0.00324704700001,531
530,608.0,0.00329773600001,541
540,612.0,0.00343485300002,551
550,618.0,0.00350487000001,561
560,622.0,0.00365073900002,571
570,622.0,0.00371929700002,581
580,624.0,0.00376816300002,591
590,626.0,0.00382687500002,601
600,626.0,0.00389506900002,611
610,628.0,0.00394977000001,621
620,628.0,0.00400702300001,631
630,628.0,0.00406281700002,641
640,630.0,0.00412590600002,651
650,630.0,0.00420613400002,661
660,632.0,0.00426739900003,671
670,632.0,0.00432647600003,681
680,634.0,0.00438044700003,691
690,634.0,0.00443368900003,701
700,634.0,0.00456679400003,711
710,640.0,0.00462076600002,721
720,642.0,0.00467400800002,731
730,642.0,0.00473235500002,741
740,644.0,0.00478049200002,751
750,644.0,0.00489281100003,761
760,644.0,0.00494423000003,771
770,650.0,0.00500294200003,781
780,650.0,0.00516850400003,791
790,652.0,0.00522976900003,801
800,652.0,0.00529103400003,811
810,652.0,0.00535667500003,821
820,656.0,0.00541137600003,831
830,656.0,0.00546352500002,841
840,658.0,0.00551421500003,851
850,658.0,0.00557110400003,861
860,660.0,0.00568488200003,871
870,662.0,0.00575854500003,881
880,662.0,0.00580996400002,891
890,664.0,0.00586284100002,901
900,664.0,0.00591207200002,911
910,664.0,0.00596312600002,921
920,668.0,0.00601563900002,931
930,670.0,0.00609222000002,941
940,670.0,0.00614254500002,951
950,670.0,0.00619432900002,961
960,670.0,0.00624939400002,971
970,672.0,0.00632086900002,981
980,674.0,0.00638359300002,991
990,674.0,0.00642990700003,1001
1000,676.0,0.00648643200003,1011
1010,678.0,0.00653858000003,1021
1020,678.0,0.00658854000002,1031
1030,678.0,0.00666111000002,1041
1040,680.0,0.00671362200002,1051
1050,680.0,0.00680551900002,1061
1060,680.0,0.00685766700002,1071
1070,680.0,0.00690507400002,1081
1080,680.0,0.00696706900002,1091
1090,680.0,0.00701593500002,1101
1100,680.0,0.00707683500002,1111
1110,680.0,0.00712570100002,1121
1120,680.0,0.00717493200002,1131
1130,680.0,0.00729563900002,1141
1140,680.0,0.00734304700002,1151
1150,680.0,0.00739556000002,1161
1160,682.0,0.00745062600002,1171
1170,682.0,0.00750022100002,1181
1180,682.0,0.00757972000002,1191
1190,684.0,0.00771355400003,1201
1200,684.0,0.00776460900003,1211
1210,686.0,0.00781493300003,1221
1220,686.0,0.00788057400003,1231
1230,686.0,0.00793345200004,1241
1240,686.0,0.00798414100004,1251
1250,688.0,0.00803556000004,1261
1260,688.0,0.00809099000003,1271
1270,688.0,0.00814642000003,1281
1280,688.0,0.00827442000003,1291
1290,688.0,0.00832766200003,1301
1300,688.0,0.00838746900004,1311
1310,688.0,0.00845383900005,1321
1320,690.0,0.00850744600005,1331
1330,690.0,0.00857892200005,1341
1340,692.0,0.00863398700005,1351
1350,692.0,0.00869014700005,1361
1360,692.0,0.00874594200004,1371
1370,692.0,0.00879517300005,1381
1380,692.0,0.00884768600005,1391
1390,692.0,0.00890348100005,1401
1400,692.0,0.00896438100005,1411
1410,692.0,0.00902382300005,1421
1420,692.0,0.00907961800005,1431
1430,694.0,0.00914015300005,1441
1440,694.0,0.00919850100005,1451
1450,696.0,0.00925137800004,1461
1460,698.0,0.00931300800004,1471
1470,698.0,0.00936406200004,1481
1480,698.0,0.00942204500004,1491
1490,698.0,0.00947054600004,1501
1500,700.0,0.00952743500004,1511
1510,700.0,0.00958140700003,1521
1520,702.0,0.00963610800004,1531
1530,702.0,0.00970138500004,1541
1540,702.0,0.00975572200004,1551
1550,702.0,0.00981370500003,1561
1560,702.0,0.00986548900003,1571
1570,702.0,0.00992164900003,1581
1580,702.0,0.00999640700003,1591
1590,702.0,0.010045638,1601
1600,706.0,0.010096692,1611
1610,706.0,0.010154675,1621
1620,706.0,0.010199165,1631
1630,706.0,0.010253137,1641
1640,706.0,0.010312213,1651
1650,706.0,0.010375302,1661
1660,708.0,0.010471941,1671
1670,708.0,0.010527735,1681
1680,710.0,0.010598846,1691
1690,710.0,0.010667404,1701
1700,712.0,0.010715906,1711
1710,712.0,0.010764042,1721
1720,714.0,0.010807073,1731
1730,714.0,0.010859221,1741
1740,716.0,0.010925591,1751
1750,716.0,0.01098175,1761
1760,722.0,0.011033168,1771
1770,722.0,0.011080576,1781
1780,722.0,0.011129078,1791
1790,724.0,0.011176121,1801
1800,726.0,0.011223164,1811
1810,726.0,0.011274218,1821
1820,726.0,0.011334389,1831
1830,726.0,0.011388725,1841
1840,728.0,0.011440144,1851
1850,730.0,0.011495939,1861
1860,730.0,0.011543346,1871
1870,730.0,0.011596953,1881
1880,730.0,0.011660041,1891
1890,730.0,0.011709636,1901
1900,730.0,0.011760326,1911
1910,730.0,0.011819403,1921
1920,730.0,0.01186827,1931
1930,730.0,0.01191823,1941
1940,730.0,0.012034561,1951
1950,732.0,0.012089262,1961
1960,732.0,0.012142139,1971
1970,732.0,0.012186994,1981
1980,736.0,0.012246436,1991
1990,736.0,0.012306972,2001
2000,736.0,0.012360214,2011
2010,736.0,0.012411998,2021
2020,736.0,0.012478003,2031
2030,736.0,0.012534527,2041
2040,738.0,0.0126979,2051
2050,738.0,0.012749319,2061
2060,738.0,0.012798914,2071
2070,738.0,0.012868202,2081
2080,738.0,0.013061113,2091
2090,738.0,0.013124566,2101
2100,740.0,0.013174161,2111
2110,742.0,0.013235426,2121
2120,742.0,0.013282469,2131
2130,742.0,0.013332064,2141
2140,744.0,0.013384212,2151
2150,744.0,0.013441466,2161
2160,744.0,0.013489967,2171
2170,744.0,0.013542115,2181
2180,744.0,0.013608121,2191
2190,744.0,0.01366574,2201
2200,744.0,0.013736122,2211
2210,744.0,0.013801034,2221
2220,746.0,0.013858653,2231
2230,746.0,0.013918459,2241
2240,746.0,0.01396769,2251
2250,746.0,0.014025308,2261
2260,746.0,0.014074904,2271
2270,746.0,0.014127782,2281
2280,746.0,0.014188682,2291
2290,746.0,0.014240466,2301
2300,746.0,0.014291155,2311
2310,746.0,0.014357525,2321
2320,748.0,0.014411497,2331
2330,748.0,0.014461822,2341
2340,750.0,0.014572682,2351
2350,750.0,0.014621548,2361
2360,750.0,0.014668591,2371
2370,750.0,0.014724021,2381
2380,750.0,0.014771064,2391
2390,750.0,0.014832693,2401
2400,750.0,0.014891041,2411
2410,750.0,0.01495887,2421
2420,750.0,0.015020135,2431
2430,750.0,0.015064625,2441
2440,754.0,0.015132089,2451
2450,754.0,0.015184966,2461
2460,754.0,0.015234197,2471
2470,754.0,0.015290357,2481
2480,756.0,0.015362926,2491
2490,758.0,0.015411792,2501
2500,758.0,0.015459929,2511
2510,758.0,0.015511348,2521
2520,758.0,0.015563861,2531
2530,758.0,0.01561455,2541
2540,758.0,0.015659405,2551
2550,760.0,0.015707177,2561
2560,760.0,0.015764795,2571
2570,760.0,0.015821684,2581
2580,760.0,0.01586982,2591
2590,762.0,0.015918686,2601
2600,764.0,0.015978493,2611
2610,764.0,0.016034653,2621
2620,764.0,0.016090448,2631
2630,764.0,0.016146608,2641
2640,764.0,0.016207873,2651
2650,764.0,0.016260386,2661
2660,764.0,0.016318004,2671
2670,770.0,0.016441263,2681
2680,772.0,0.016494505,2691
2690,774.0,0.016552852,2701
2700,774.0,0.016610106,2711
