problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,GA,"['100', '50', '30']",98.0,4660,0.41784333799999995,294412.0
CONTPEAKS,MIMIC,"['100', '50', '0.5']",96.0,4040,30.127002227,445400.0
CONTPEAKS,RHC,"[]",98.0,3810,0.03413844,3821.0
CONTPEAKS,SA,"['0.55']",99.0,3310,0.011558655,3321.0
FLIPFLOP,GA,"['100', '50', '50']",611.0,2430,1.21755328,170193.0
FLIPFLOP,MIMIC,"['100', '50', '0.9']",837.0,1630,1231.24860403,180300.0
FLIPFLOP,RHC,"[]",767.0,2950,0.040783134,2961.0
FLIPFLOP,SA,"['0.75']",781.0,2980,0.020977762999999996,2991.0
TSP,GA,"['100', '50', '30']",0.121125860998,1700,0.613759889999,107872.0
TSP,MIMIC,"['100', '50', '0.1']",0.0379207870018,9800,1595.87277568,1079000.0
TSP,RHC,"[]",0.0500394492344,2920,0.0142499350113,2931.0
TSP,SA,"['0.35']",0.056407344525699996,2950,0.013636187992200002,2961.0
